WARNING - utils.py - 2021-09-29 18:19:26,669 - No checkpoint found at ./checkpoints-meta/checkpoint.pth. Returned the same state as input
INFO - run_lib.py - 2021-09-29 18:19:30,456 - Starting training loop at step 0.
INFO - run_lib.py - 2021-09-29 18:19:34,339 - step: 0, training_loss: 9.83406e+04
INFO - run_lib.py - 2021-09-29 18:19:35,310 - step: 0, eval_loss: 9.83182e+04
INFO - run_lib.py - 2021-09-29 18:21:05,714 - step: 50, training_loss: 9.71868e+04
INFO - run_lib.py - 2021-09-29 18:22:33,718 - step: 100, training_loss: 9.46253e+04
INFO - run_lib.py - 2021-09-29 18:22:34,379 - step: 100, eval_loss: 9.41302e+04
INFO - run_lib.py - 2021-09-29 18:24:01,931 - step: 150, training_loss: 8.94126e+04
INFO - run_lib.py - 2021-09-29 18:25:29,442 - step: 200, training_loss: 8.01560e+04
INFO - run_lib.py - 2021-09-29 18:25:30,124 - step: 200, eval_loss: 8.54902e+04
INFO - run_lib.py - 2021-09-29 18:26:58,137 - step: 250, training_loss: 7.03546e+04
INFO - run_lib.py - 2021-09-29 18:28:26,463 - step: 300, training_loss: 6.04249e+04
INFO - run_lib.py - 2021-09-29 18:28:27,110 - step: 300, eval_loss: 6.44483e+04
INFO - run_lib.py - 2021-09-29 18:29:55,225 - step: 350, training_loss: 4.65400e+04
INFO - run_lib.py - 2021-09-29 18:31:23,515 - step: 400, training_loss: 3.31505e+04
INFO - run_lib.py - 2021-09-29 18:31:24,158 - step: 400, eval_loss: 4.29423e+04
INFO - run_lib.py - 2021-09-29 18:32:51,744 - step: 450, training_loss: 2.36391e+04
INFO - run_lib.py - 2021-09-29 18:34:19,938 - step: 500, training_loss: 1.26149e+04
INFO - run_lib.py - 2021-09-29 18:34:20,583 - step: 500, eval_loss: 2.19379e+04
INFO - run_lib.py - 2021-09-29 18:35:48,964 - step: 550, training_loss: 6.78310e+03
INFO - run_lib.py - 2021-09-29 18:37:16,150 - step: 600, training_loss: 2.90798e+03
INFO - run_lib.py - 2021-09-29 18:37:16,806 - step: 600, eval_loss: 8.47776e+03
INFO - run_lib.py - 2021-09-29 18:38:45,164 - step: 650, training_loss: 1.80832e+03
INFO - run_lib.py - 2021-09-29 18:40:14,237 - step: 700, training_loss: 9.70218e+02
INFO - run_lib.py - 2021-09-29 18:40:14,901 - step: 700, eval_loss: 4.21738e+03
INFO - run_lib.py - 2021-09-29 18:41:43,905 - step: 750, training_loss: 1.50940e+03
INFO - run_lib.py - 2021-09-29 18:43:12,677 - step: 800, training_loss: 2.44176e+03
